app_id,categories
701100,Single-player
1407060,Single-player
1407060,Steam Achievements
1407060,Full controller support
1495860,Single-player
1495860,Multi-player
1495860,PvP
1495860,Online PvP
1495860,Shared/Split Screen PvP
1495860,Shared/Split Screen
1495860,Steam Achievements
1495860,Partial Controller Support
1495860,Steam Cloud
1495860,Remote Play Together
1126970,Single-player
1126970,Multi-player
1126970,PvP
1126970,Online PvP
1126970,Shared/Split Screen PvP
1126970,Co-op
1126970,Online Co-op
1126970,Shared/Split Screen Co-op
1126970,Shared/Split Screen
1126970,Remote Play Together
1639530,Multi-player
1639530,PvP
1639530,Online PvP
1639530,Co-op
1639530,Online Co-op
1639530,Cross-Platform Multiplayer
1639530,In-App Purchases
358000,Single-player
358000,Partial Controller Support
1856080,Multi-player
1856080,PvP
1856080,Online PvP
239430,Single-player
239430,Steam Achievements
239430,VR Support
239430,Partial Controller Support
239430,Steam Cloud
239430,Stats
239430,Steam Leaderboards
961490,Single-player
961490,Multi-player
961490,Co-op
961490,Shared/Split Screen Co-op
961490,Steam Achievements
961490,Full controller support
961490,Steam Cloud
961490,Remote Play on Phone
961490,Remote Play on Tablet
961490,Remote Play on TV
961490,Remote Play Together
363500,Single-player
363500,Steam Achievements
363500,Steam Trading Cards
286750,Single-player
388080,Single-player
388080,Steam Achievements
388080,Steam Trading Cards
388080,Steam Cloud
1565630,Single-player
925360,Single-player
482300,Single-player
482300,Steam Achievements
482300,Full controller support
482300,Steam Trading Cards
482300,Steam Cloud
482300,Remote Play Together
964910,Single-player
964910,Steam Cloud
1716950,Single-player
1716950,Steam Achievements
1716950,Steam Cloud
411530,Single-player
237430,Single-player
237430,Multi-player
237430,Steam Achievements
237430,Steam Trading Cards
485120,Single-player
485120,Multi-player
485120,PvP
485120,Shared/Split Screen PvP
485120,Shared/Split Screen
485120,Full controller support
485120,Steam Leaderboards
485120,Remote Play on Phone
485120,Remote Play on Tablet
485120,Remote Play on TV
485120,Remote Play Together
528670,Single-player
528670,Steam Achievements
528670,Full controller support
528670,Steam Trading Cards
1496530,Single-player
1496530,Steam Achievements
1496530,Steam Leaderboards
465070,Single-player
465070,Multi-player
465070,PvP
465070,Shared/Split Screen PvP
465070,Co-op
465070,Shared/Split Screen Co-op
465070,Steam Achievements
465070,Full controller support
465070,Steam Cloud
465070,Steam Leaderboards
465070,Remote Play Together
448010,Single-player
448010,Steam Achievements
448010,Full controller support
448010,Steam Cloud
782630,Multi-player
782630,PvP
782630,Online PvP
1941850,Single-player
1467740,Single-player
1212930,Single-player
1212930,Steam Achievements
1212930,Partial Controller Support
1975670,Single-player
1975670,Steam Achievements
1975670,Full controller support
1808480,Single-player
1808480,Steam Achievements
1808480,Steam Cloud
818070,Single-player
818070,Multi-player
818070,PvP
818070,Online PvP
818070,Co-op
818070,Online Co-op
818070,Cross-Platform Multiplayer
944590,Single-player
944590,Steam Achievements
944590,Full controller support
1299400,Single-player
1299400,Steam Achievements
1299400,Steam Cloud
958090,Single-player
958090,Steam Achievements
958090,Steam Cloud
958090,Steam Leaderboards
607040,Single-player
607040,Steam Achievements
607040,Steam Trading Cards
607040,Partial Controller Support
607040,Steam Cloud
1301850,Single-player
299380,Single-player
299380,Steam Achievements
299380,Full controller support
299380,Steam Trading Cards
299380,Steam Cloud
299380,Steam Leaderboards
299380,Remote Play on TV
1626950,Single-player
342260,Single-player
342260,Steam Achievements
342260,Steam Trading Cards
342260,Partial Controller Support
342260,Steam Cloud
1684920,Single-player
1684920,Steam Achievements
888010,Single-player
888010,Steam Achievements
888010,Captions available
538950,Single-player
538950,Steam Achievements
538950,Stats
538950,Steam Leaderboards
293520,Single-player
293520,Steam Achievements
293520,Full controller support
293520,Steam Cloud
293520,Steam Leaderboards
502940,Single-player
502940,Steam Achievements
502940,Steam Trading Cards
502940,Partial Controller Support
1395560,Single-player
1395560,Multi-player
1395560,PvP
1395560,LAN PvP
1395560,Shared/Split Screen PvP
1395560,Shared/Split Screen
1395560,Steam Trading Cards
1038680,Multi-player
1038680,PvP
1038680,Online PvP
291690,Single-player
291690,Steam Achievements
291690,Steam Trading Cards
291690,Partial Controller Support
1246200,Single-player
1246200,Partial Controller Support
1581010,Single-player
653210,Single-player
653210,Steam Achievements
653210,Partial Controller Support
267360,Single-player
267360,Steam Trading Cards
267360,Partial Controller Support
1694430,Single-player
1694430,Includes level editor
1886850,Single-player
1886850,Steam Achievements
499910,Single-player
499910,Steam Achievements
499910,Steam Trading Cards
1863170,Single-player
1863170,Steam Achievements
1863170,Steam Cloud
1863170,Steam Leaderboards
1644840,Single-player
1644840,Steam Achievements
1422880,Single-player
1422880,Steam Achievements
1422880,Partial Controller Support
410320,Single-player
410320,Multi-player
410320,Co-op
410320,Shared/Split Screen
410320,Steam Achievements
410320,Full controller support
410320,Steam Trading Cards
410320,Steam Cloud
410320,Remote Play on Phone
410320,Remote Play on Tablet
410320,Remote Play on TV
410320,Remote Play Together
1345440,Single-player
1345440,Multi-player
1345440,PvP
1345440,Shared/Split Screen PvP
1345440,Co-op
1345440,Shared/Split Screen Co-op
1345440,Shared/Split Screen
1345440,Steam Achievements
1345440,Full controller support
1345440,Includes level editor
1345440,Remote Play Together
757600,Single-player
757600,Steam Achievements
757600,Full controller support
757600,Remote Play on TV
952000,Single-player
952000,Multi-player
952000,PvP
952000,Online PvP
952000,LAN PvP
952000,Co-op
952000,Online Co-op
952000,LAN Co-op
1735930,Single-player
1735930,Steam Achievements
1735930,Full controller support
1735930,Captions available
336670,Multi-player
336670,Co-op
336670,Partial Controller Support
733420,Single-player
733420,Multi-player
733420,Shared/Split Screen
733420,Partial Controller Support
733420,Remote Play Together
1528770,Single-player
1528770,Steam Achievements
1528770,Full controller support
1528770,Steam Cloud
1528770,Stats
1528770,Steam Leaderboards
542260,Single-player
542260,Steam Achievements
542260,Steam Trading Cards
369560,Single-player
369560,Multi-player
369560,Co-op
369560,Shared/Split Screen Co-op
369560,Shared/Split Screen
369560,Steam Achievements
369560,Full controller support
369560,Steam Trading Cards
369560,Steam Cloud
369560,Remote Play on TV
369560,Remote Play Together
1494400,Single-player
394850,Single-player
394850,Multi-player
394850,Shared/Split Screen
394850,Partial Controller Support
394850,Remote Play Together
953900,Single-player
953900,Steam Achievements
953900,Steam Trading Cards
299480,Single-player
299480,Multi-player
299480,Co-op
299480,Online Co-op
299480,Shared/Split Screen Co-op
299480,Shared/Split Screen
299480,Steam Achievements
299480,Full controller support
299480,Steam Trading Cards
299480,Remote Play on TV
299480,Remote Play Together
1530670,Single-player
1503530,Single-player
1503530,Steam Achievements
1503530,Full controller support
750960,Single-player
750960,Steam Achievements
750960,Full controller support
750960,Steam Cloud
523210,Single-player
523210,Steam Achievements
523210,Steam Trading Cards
1278170,Single-player
1278170,Multi-player
